# ph	T_bb	err	R_bb	err	L_bb	err

59140.46	1.01e+04	9.77e+02	5.88e+14	7.14e+13	2.59e+42	1.18e+42
59140.46	1.01e+04	9.77e+02	5.62e+14	6.83e+13	2.37e+42	1.08e+42
59140.46	1.01e+04	9.77e+02	5.78e+14	7.03e+13	2.51e+42	1.14e+42
59140.48	1.01e+04	9.77e+02	5.64e+14	6.86e+13	2.39e+42	1.09e+42
59140.48	1.01e+04	9.77e+02	5.73e+14	6.97e+13	2.47e+42	1.13e+42
59140.48	1.01e+04	9.77e+02	3.88e+14	4.72e+13	1.13e+42	5.16e+41
59142.36	1.01e+04	9.77e+02	5.77e+14	7.02e+13	2.50e+42	1.14e+42
59142.41	1.01e+04	9.77e+02	3.56e+14	4.34e+13	9.54e+41	4.35e+41
59142.44	1.01e+04	9.77e+02	4.56e+14	5.55e+13	1.56e+42	7.12e+41
59142.44	1.01e+04	9.77e+02	4.03e+14	4.90e+13	1.22e+42	5.56e+41
59142.44	1.01e+04	9.77e+02	4.15e+14	5.05e+13	1.29e+42	5.90e+41
59142.46	1.01e+04	9.77e+02	4.17e+14	5.07e+13	1.30e+42	5.95e+41
59144.40	1.01e+04	9.77e+02	3.48e+14	4.23e+13	9.07e+41	4.14e+41
59144.40	1.01e+04	9.77e+02	5.58e+14	6.78e+13	2.34e+42	1.07e+42
59144.40	1.01e+04	9.77e+02	5.60e+14	6.81e+13	2.35e+42	1.07e+42
59144.40	1.01e+04	9.77e+02	5.62e+14	6.84e+13	2.37e+42	1.08e+42
59144.43	1.01e+04	9.77e+02	5.48e+14	6.66e+13	2.26e+42	1.03e+42
59144.43	1.01e+04	9.77e+02	5.75e+14	6.99e+13	2.48e+42	1.13e+42
59146.46	1.01e+04	9.77e+02	3.76e+14	4.57e+13	1.06e+42	4.84e+41
59146.46	1.01e+04	9.77e+02	5.75e+14	7.00e+13	2.48e+42	1.13e+42
59146.49	1.01e+04	9.77e+02	4.40e+14	5.36e+13	1.46e+42	6.64e+41
59146.52	1.01e+04	9.77e+02	4.86e+14	5.91e+13	1.77e+42	8.10e+41
59146.52	1.01e+04	9.77e+02	4.52e+14	5.50e+13	1.53e+42	6.99e+41
59146.52	1.01e+04	9.77e+02	4.38e+14	5.33e+13	1.44e+42	6.57e+41
59146.53	1.01e+04	9.77e+02	4.47e+14	5.44e+13	1.50e+42	6.85e+41
59146.53	1.01e+04	9.77e+02	4.60e+14	5.59e+13	1.59e+42	7.24e+41
59146.53	1.01e+04	9.77e+02	4.41e+14	5.36e+13	1.46e+42	6.65e+41
59146.54	1.01e+04	9.77e+02	4.65e+14	5.65e+13	1.62e+42	7.40e+41
59147.44	1.01e+04	9.77e+02	5.69e+14	6.92e+13	2.43e+42	1.11e+42
59147.44	1.01e+04	9.77e+02	5.29e+14	6.44e+13	2.10e+42	9.60e+41
59147.45	1.01e+04	9.77e+02	5.50e+14	6.69e+13	2.27e+42	1.04e+42
59147.45	1.01e+04	9.77e+02	5.91e+14	7.19e+13	2.63e+42	1.20e+42
59148.42	1.01e+04	9.77e+02	5.57e+14	6.78e+13	2.33e+42	1.06e+42
59148.43	1.01e+04	9.77e+02	5.82e+14	7.07e+13	2.54e+42	1.16e+42
59148.43	1.01e+04	9.77e+02	5.56e+14	6.76e+13	2.32e+42	1.06e+42
59148.43	1.01e+04	9.77e+02	6.45e+14	7.84e+13	3.12e+42	1.42e+42
59148.44	1.01e+04	9.77e+02	6.55e+14	7.96e+13	3.22e+42	1.47e+42
59148.45	1.01e+04	9.77e+02	5.30e+14	6.44e+13	2.11e+42	9.62e+41
59150.30	1.01e+04	9.77e+02	5.59e+14	6.80e+13	2.35e+42	1.07e+42
59150.59	1.01e+04	9.77e+02	5.72e+14	6.96e+13	2.46e+42	1.12e+42
59150.60	1.01e+04	9.77e+02	1.53e+15	1.86e+14	1.76e+43	8.01e+42
59151.32	1.01e+04	9.77e+02	3.66e+14	4.45e+13	1.00e+42	4.58e+41
59151.37	1.01e+04	9.77e+02	5.36e+14	6.51e+13	2.15e+42	9.82e+41
59152.39	1.01e+04	9.77e+02	5.61e+14	6.83e+13	2.37e+42	1.08e+42
59155.28	1.01e+04	9.77e+02	5.60e+14	6.81e+13	2.35e+42	1.07e+42
59155.36	1.01e+04	9.77e+02	3.41e+14	4.15e+13	8.73e+41	3.98e+41
59156.48	1.01e+04	9.77e+02	5.37e+14	6.53e+13	2.17e+42	9.89e+41
59156.49	1.01e+04	9.77e+02	5.27e+14	6.40e+13	2.08e+42	9.49e+41
59156.51	1.01e+04	9.77e+02	5.78e+14	7.03e+13	2.51e+42	1.14e+42
59156.54	1.01e+04	9.77e+02	5.53e+14	6.73e+13	2.30e+42	1.05e+42
59157.37	1.01e+04	9.77e+02	3.64e+14	4.42e+13	9.93e+41	4.53e+41
59157.42	1.01e+04	9.77e+02	5.37e+14	6.53e+13	2.17e+42	9.89e+41
59157.48	1.01e+04	9.77e+02	5.28e+14	6.42e+13	2.09e+42	9.55e+41
59157.49	1.01e+04	9.77e+02	5.11e+14	6.21e+13	1.96e+42	8.93e+41
59157.50	1.01e+04	9.77e+02	5.45e+14	6.63e+13	2.23e+42	1.02e+42
59157.50	1.01e+04	9.77e+02	5.56e+14	6.76e+13	2.32e+42	1.06e+42
59158.32	1.01e+04	9.77e+02	3.26e+14	3.97e+13	7.99e+41	3.64e+41
59158.35	1.01e+04	9.77e+02	5.50e+14	6.69e+13	2.27e+42	1.04e+42
59158.47	1.01e+04	9.77e+02	4.58e+14	5.57e+13	1.57e+42	7.18e+41
59158.48	1.01e+04	9.77e+02	5.58e+14	6.79e+13	2.34e+42	1.07e+42
59158.49	1.01e+04	9.77e+02	5.59e+14	6.80e+13	2.35e+42	1.07e+42
59158.50	1.01e+04	9.77e+02	5.35e+14	6.51e+13	2.15e+42	9.80e+41
59158.50	1.01e+04	9.77e+02	5.02e+14	6.10e+13	1.89e+42	8.62e+41
59158.53	1.01e+04	9.77e+02	5.74e+14	6.98e+13	2.47e+42	1.13e+42
59160.45	1.01e+04	9.77e+02	5.53e+14	6.72e+13	2.29e+42	1.05e+42
59160.46	1.01e+04	9.77e+02	5.88e+14	7.15e+13	2.60e+42	1.19e+42
59160.46	1.01e+04	9.77e+02	5.15e+14	6.27e+13	1.99e+42	9.09e+41
59160.47	1.01e+04	9.77e+02	4.99e+14	6.07e+13	1.87e+42	8.52e+41
59161.44	1.01e+04	9.77e+02	5.52e+14	6.71e+13	2.29e+42	1.04e+42
59161.44	1.01e+04	9.77e+02	3.52e+14	4.28e+13	9.31e+41	4.24e+41
59165.30	1.01e+04	9.77e+02	3.22e+14	3.92e+13	7.80e+41	3.56e+41
59165.35	1.01e+04	9.77e+02	5.22e+14	6.35e+13	2.05e+42	9.34e+41
59167.35	1.01e+04	9.77e+02	5.12e+14	6.23e+13	1.97e+42	8.98e+41
59169.28	1.01e+04	9.77e+02	5.21e+14	6.33e+13	2.03e+42	9.28e+41
59169.33	1.01e+04	9.77e+02	3.06e+14	3.72e+13	7.01e+41	3.20e+41
59170.47	1.01e+04	9.77e+02	3.48e+14	4.23e+13	9.09e+41	4.14e+41
59170.47	1.01e+04	9.77e+02	4.13e+14	5.02e+13	1.28e+42	5.84e+41
59170.48	1.01e+04	9.77e+02	3.96e+14	4.82e+13	1.18e+42	5.38e+41
59170.51	1.01e+04	9.77e+02	3.85e+14	4.68e+13	1.11e+42	5.07e+41
59171.26	1.01e+04	9.77e+02	2.85e+14	3.46e+13	6.09e+41	2.78e+41
59172.39	1.01e+04	9.77e+02	3.15e+14	3.83e+13	7.46e+41	3.40e+41
59172.39	1.01e+04	9.77e+02	5.11e+14	6.21e+13	1.96e+42	8.94e+41
59172.41	1.01e+04	9.77e+02	4.44e+14	5.40e+13	1.48e+42	6.75e+41
59172.42	1.01e+04	9.77e+02	4.14e+14	5.03e+13	1.29e+42	5.87e+41
59172.43	1.01e+04	9.77e+02	4.36e+14	5.31e+13	1.43e+42	6.52e+41
59172.44	1.01e+04	9.77e+02	4.39e+14	5.34e+13	1.45e+42	6.60e+41
59173.41	1.01e+04	9.77e+02	3.51e+14	4.27e+13	9.24e+41	4.21e+41
59173.42	1.01e+04	9.77e+02	4.46e+14	5.42e+13	1.49e+42	6.80e+41
59173.45	1.01e+04	9.77e+02	3.69e+14	4.49e+13	1.02e+42	4.66e+41
59173.45	1.01e+04	9.77e+02	4.22e+14	5.14e+13	1.34e+42	6.11e+41
59174.34	1.01e+04	9.77e+02	4.84e+14	5.88e+13	1.76e+42	8.01e+41
59176.33	1.01e+04	9.77e+02	4.94e+14	6.01e+13	1.83e+42	8.37e+41
59176.35	1.01e+04	9.77e+02	3.00e+14	3.64e+13	6.74e+41	3.07e+41
59178.32	1.01e+04	9.77e+02	4.79e+14	5.83e+13	1.72e+42	7.87e+41
59178.50	1.01e+04	9.77e+02	4.20e+14	5.10e+13	1.32e+42	6.03e+41
59178.52	1.01e+04	9.77e+02	5.20e+14	6.32e+13	2.03e+42	9.25e+41
59178.53	1.01e+04	9.77e+02	4.98e+14	6.06e+13	1.87e+42	8.51e+41
59178.53	1.01e+04	9.77e+02	5.27e+14	6.41e+13	2.08e+42	9.50e+41
59185.25	1.01e+04	9.77e+02	4.55e+14	5.53e+13	1.55e+42	7.08e+41
59185.40	1.01e+04	9.77e+02	4.56e+14	5.55e+13	1.56e+42	7.13e+41
59185.40	1.01e+04	9.77e+02	4.60e+14	5.59e+13	1.59e+42	7.25e+41
59187.25	1.01e+04	9.77e+02	4.60e+14	5.59e+13	1.59e+42	7.24e+41
59189.24	1.01e+04	9.77e+02	4.25e+14	5.17e+13	1.36e+42	6.19e+41
59190.41	1.01e+04	9.77e+02	4.31e+14	5.24e+13	1.39e+42	6.35e+41
59190.41	1.01e+04	9.77e+02	2.37e+14	2.88e+13	4.21e+41	1.92e+41
59192.37	1.01e+04	9.77e+02	2.32e+14	2.82e+13	4.03e+41	1.84e+41
59192.37	1.01e+04	9.77e+02	4.49e+14	5.46e+13	1.51e+42	6.91e+41
59193.33	1.01e+04	9.77e+02	3.51e+14	4.27e+13	9.25e+41	4.22e+41
59193.34	1.01e+04	9.77e+02	3.69e+14	4.49e+13	1.02e+42	4.66e+41
59193.35	1.01e+04	9.77e+02	3.68e+14	4.48e+13	1.02e+42	4.64e+41
59193.36	1.01e+04	9.77e+02	3.59e+14	4.36e+13	9.66e+41	4.41e+41
