# ph	Lobs	err	L+BB	err	

59155.36	2.78e+41	7.27e+40	8.76e+41	2.61e+41
59156.48	6.91e+41	1.81e+41	2.17e+42	6.47e+41
59156.49	6.64e+41	1.73e+41	2.09e+42	6.21e+41
59156.51	8.00e+41	2.09e+41	2.52e+42	7.49e+41
59156.54	7.32e+41	1.91e+41	2.30e+42	6.86e+41
59157.37	3.17e+41	8.27e+40	9.95e+41	2.96e+41
59157.42	6.91e+41	1.81e+41	2.17e+42	6.47e+41
59157.48	6.67e+41	1.74e+41	2.10e+42	6.25e+41
59157.49	6.24e+41	1.63e+41	1.96e+42	5.84e+41
59157.50	7.11e+41	1.86e+41	2.24e+42	6.66e+41
59157.50	7.40e+41	1.93e+41	2.33e+42	6.93e+41
59158.32	2.55e+41	6.65e+40	8.01e+41	2.38e+41
59158.35	7.24e+41	1.89e+41	2.28e+42	6.78e+41
59158.47	5.02e+41	1.31e+41	1.58e+42	4.70e+41
59158.48	7.46e+41	1.95e+41	2.35e+42	6.98e+41
59158.49	7.48e+41	1.95e+41	2.35e+42	7.00e+41
59158.50	6.85e+41	1.79e+41	2.16e+42	6.42e+41
59158.50	6.03e+41	1.57e+41	1.89e+42	5.64e+41
59158.53	7.88e+41	2.06e+41	2.48e+42	7.38e+41
59160.45	7.32e+41	1.91e+41	2.30e+42	6.85e+41
59160.46	8.29e+41	2.16e+41	2.61e+42	7.76e+41
59160.46	6.36e+41	1.66e+41	2.00e+42	5.95e+41
59160.47	5.96e+41	1.56e+41	1.87e+42	5.58e+41
59161.44	7.29e+41	1.90e+41	2.29e+42	6.82e+41
59161.44	2.97e+41	7.75e+40	9.33e+41	2.78e+41
59165.30	2.49e+41	6.50e+40	7.83e+41	2.33e+41
59165.35	6.53e+41	1.70e+41	2.05e+42	6.11e+41
59167.35	6.28e+41	1.64e+41	1.97e+42	5.88e+41
59169.28	6.49e+41	1.69e+41	2.04e+42	6.07e+41
59169.33	2.24e+41	5.84e+40	7.03e+41	2.09e+41
59170.47	2.90e+41	7.57e+40	9.11e+41	2.71e+41
59170.47	4.08e+41	1.07e+41	1.28e+42	3.82e+41
59170.48	3.76e+41	9.83e+40	1.18e+42	3.52e+41
59170.51	3.54e+41	9.25e+40	1.11e+42	3.31e+41
59171.26	1.94e+41	5.07e+40	6.10e+41	1.82e+41
59172.39	2.38e+41	6.21e+40	7.48e+41	2.23e+41
59172.39	6.25e+41	1.63e+41	1.97e+42	5.85e+41
59172.41	4.72e+41	1.23e+41	1.48e+42	4.42e+41
59172.42	4.10e+41	1.07e+41	1.29e+42	3.84e+41
59172.43	4.56e+41	1.19e+41	1.43e+42	4.27e+41
59172.44	4.62e+41	1.21e+41	1.45e+42	4.32e+41
59173.41	2.95e+41	7.69e+40	9.26e+41	2.76e+41
59173.42	4.76e+41	1.24e+41	1.50e+42	4.45e+41
59173.45	3.26e+41	8.51e+40	1.02e+42	3.05e+41
59173.45	4.27e+41	1.12e+41	1.34e+42	4.00e+41
59174.34	5.60e+41	1.46e+41	1.76e+42	5.24e+41
59176.33	5.85e+41	1.53e+41	1.84e+42	5.48e+41
59176.35	2.15e+41	5.61e+40	6.76e+41	2.01e+41
59178.32	5.50e+41	1.44e+41	1.73e+42	5.15e+41
59178.50	4.21e+41	1.10e+41	1.33e+42	3.94e+41
59178.52	6.47e+41	1.69e+41	2.03e+42	6.05e+41
59178.53	5.95e+41	1.55e+41	1.87e+42	5.57e+41
59178.53	6.64e+41	1.74e+41	2.09e+42	6.22e+41
59185.25	4.95e+41	1.29e+41	1.56e+42	4.63e+41
59185.40	4.98e+41	1.30e+41	1.57e+42	4.66e+41
59185.40	5.07e+41	1.32e+41	1.59e+42	4.74e+41
59187.25	5.06e+41	1.32e+41	1.59e+42	4.74e+41
59189.24	4.33e+41	1.13e+41	1.36e+42	4.05e+41
59190.41	4.44e+41	1.16e+41	1.40e+42	4.15e+41
59190.41	1.34e+41	3.50e+40	4.22e+41	1.26e+41
59192.37	1.28e+41	3.36e+40	4.04e+41	1.20e+41
59192.37	4.83e+41	1.26e+41	1.52e+42	4.52e+41
59193.33	2.95e+41	7.70e+40	9.27e+41	2.76e+41
59193.34	3.26e+41	8.51e+40	1.03e+42	3.05e+41
59193.35	3.24e+41	8.47e+40	1.02e+42	3.04e+41
59193.36	3.08e+41	8.05e+40	9.69e+41	2.88e+41
59194.25	3.19e+41	8.34e+40	1.00e+42	2.99e+41
59194.33	9.07e+40	2.37e+40	2.85e+41	8.49e+40
59194.33	3.37e+41	8.79e+40	1.06e+42	3.15e+41
59196.25	3.29e+41	8.59e+40	1.03e+42	3.08e+41
59198.21	2.32e+41	6.05e+40	7.29e+41	2.17e+41
59198.36	6.79e+40	1.77e+40	2.14e+41	6.36e+40
59198.37	2.64e+41	6.89e+40	8.30e+41	2.47e+41
59200.24	2.07e+41	5.41e+40	6.52e+41	1.94e+41
59217.31	7.71e+40	2.01e+40	2.42e+41	7.21e+40
59221.33	7.47e+40	1.95e+40	2.35e+41	7.00e+40
59221.34	7.18e+40	1.88e+40	2.26e+41	6.72e+40
59221.36	7.66e+40	2.00e+40	2.41e+41	7.17e+40
59458.57	2.73e+39	7.14e+38	8.60e+39	2.56e+39
59467.57	6.76e+39	1.77e+39	2.13e+40	6.33e+39
59467.57	4.60e+39	1.20e+39	1.45e+40	4.30e+39
59485.56	1.88e+40	4.90e+39	5.90e+40	1.76e+40
59491.50	1.14e+40	2.97e+39	3.58e+40	1.06e+40
59494.62	5.92e+39	1.54e+39	1.86e+40	5.54e+39
59516.46	9.23e+39	2.41e+39	2.90e+40	8.64e+39
59525.46	4.83e+39	1.26e+39	1.52e+40	4.53e+39
59529.48	6.93e+39	1.81e+39	2.18e+40	6.49e+39
59540.38	7.93e+38	2.07e+38	2.49e+39	7.42e+38
59544.42	6.53e+39	1.71e+39	2.05e+40	6.12e+39

#KEY
# Lobs = integrate observed fluxes with no BB fit
# L+BB = observed flux + BB fit extrapolation
# See logL-obs_2020rth_gwriz.txt and logL-bb_2020rth_gwriz.txt for simple LC files
# Methodology:
# filters used:gwriz
# redshift used:0.0184
# extinction used:0.0
# Wavelengths used in observer frame (data already K-corrected?)
# BB fit below 1A suppressed by factor (lamda/1)^0
