##phase	g	err	w	err	r	err	i	err	z	err	
#
59146.54	18.18	0.30	18.18	0.30	18.18	0.30	18.18	0.30	18.18	0.30
59147.44	17.74	0.30	17.74	0.30	17.74	0.30	17.74	0.30	17.74	0.30
59147.44	17.90	0.30	17.90	0.30	17.90	0.30	17.90	0.30	17.90	0.30
59147.45	17.82	0.30	17.82	0.30	17.82	0.30	17.82	0.30	17.82	0.30
59147.45	17.66	0.30	17.66	0.30	17.66	0.30	17.66	0.30	17.66	0.30
59148.42	17.79	0.30	17.79	0.30	17.79	0.30	17.79	0.30	17.79	0.30
59148.43	17.69	0.30	17.69	0.30	17.69	0.30	17.69	0.30	17.69	0.30
59148.43	17.79	0.30	17.79	0.30	17.79	0.30	17.79	0.30	17.79	0.30
59148.43	17.47	0.30	17.47	0.30	17.47	0.30	17.47	0.30	17.47	0.30
59148.44	17.44	0.30	17.44	0.30	17.44	0.30	17.44	0.30	17.44	0.30
59148.45	17.89	0.30	17.89	0.30	17.89	0.30	17.89	0.30	17.89	0.30
59150.30	17.78	0.30	17.78	0.30	17.78	0.30	17.78	0.30	17.78	0.30
59150.59	17.73	0.30	17.73	0.30	17.73	0.30	17.73	0.30	17.73	0.30
59150.60	15.59	0.30	15.59	0.30	15.59	0.30	15.59	0.30	15.59	0.30
59151.32	18.70	0.30	18.70	0.30	18.70	0.30	18.70	0.30	18.70	0.30
59151.37	17.87	0.30	17.87	0.30	17.87	0.30	17.87	0.30	17.87	0.30
59152.39	17.77	0.30	17.77	0.30	17.77	0.30	17.77	0.30	17.77	0.30
59155.28	17.77	0.30	17.77	0.30	17.77	0.30	17.77	0.30	17.77	0.30
59155.36	18.85	0.30	18.85	0.30	18.85	0.30	18.85	0.30	18.85	0.30
59156.48	17.86	0.30	17.86	0.30	17.86	0.30	17.86	0.30	17.86	0.30
59156.49	17.91	0.30	17.91	0.30	17.91	0.30	17.91	0.30	17.91	0.30
59156.51	17.71	0.30	17.71	0.30	17.71	0.30	17.71	0.30	17.71	0.30
59156.54	17.80	0.30	17.80	0.30	17.80	0.30	17.80	0.30	17.80	0.30
59157.37	18.71	0.30	18.71	0.30	18.71	0.30	18.71	0.30	18.71	0.30
59157.42	17.86	0.30	17.86	0.30	17.86	0.30	17.86	0.30	17.86	0.30
59157.48	17.90	0.30	17.90	0.30	17.90	0.30	17.90	0.30	17.90	0.30
59157.49	17.98	0.30	17.98	0.30	17.98	0.30	17.98	0.30	17.98	0.30
59157.50	17.83	0.30	17.83	0.30	17.83	0.30	17.83	0.30	17.83	0.30
59157.50	17.79	0.30	17.79	0.30	17.79	0.30	17.79	0.30	17.79	0.30
59158.32	18.95	0.30	18.95	0.30	18.95	0.30	18.95	0.30	18.95	0.30
59158.35	17.81	0.30	17.81	0.30	17.81	0.30	17.81	0.30	17.81	0.30
59158.47	18.21	0.30	18.21	0.30	18.21	0.30	18.21	0.30	18.21	0.30
59158.48	17.78	0.30	17.78	0.30	17.78	0.30	17.78	0.30	17.78	0.30
59158.49	17.78	0.30	17.78	0.30	17.78	0.30	17.78	0.30	17.78	0.30
59158.50	17.87	0.30	17.87	0.30	17.87	0.30	17.87	0.30	17.87	0.30
59158.50	18.01	0.30	18.01	0.30	18.01	0.30	18.01	0.30	18.01	0.30
59158.53	17.72	0.30	17.72	0.30	17.72	0.30	17.72	0.30	17.72	0.30
59160.45	17.80	0.30	17.80	0.30	17.80	0.30	17.80	0.30	17.80	0.30
59160.46	17.67	0.30	17.67	0.30	17.67	0.30	17.67	0.30	17.67	0.30
59160.46	17.96	0.30	17.96	0.30	17.96	0.30	17.96	0.30	17.96	0.30
59160.47	18.03	0.30	18.03	0.30	18.03	0.30	18.03	0.30	18.03	0.30
59161.44	17.81	0.30	17.81	0.30	17.81	0.30	17.81	0.30	17.81	0.30
59161.44	18.78	0.30	18.78	0.30	18.78	0.30	18.78	0.30	18.78	0.30
59165.30	18.97	0.30	18.97	0.30	18.97	0.30	18.97	0.30	18.97	0.30
59165.35	17.93	0.30	17.93	0.30	17.93	0.30	17.93	0.30	17.93	0.30
59167.35	17.97	0.30	17.97	0.30	17.97	0.30	17.97	0.30	17.97	0.30
59169.28	17.93	0.30	17.93	0.30	17.93	0.30	17.93	0.30	17.93	0.30
59169.33	19.09	0.30	19.09	0.30	19.09	0.30	19.09	0.30	19.09	0.30
59170.47	18.81	0.30	18.81	0.30	18.81	0.30	18.81	0.30	18.81	0.30
59170.47	18.44	0.30	18.44	0.30	18.44	0.30	18.44	0.30	18.44	0.30
59170.48	18.52	0.30	18.52	0.30	18.52	0.30	18.52	0.30	18.52	0.30
59170.51	18.59	0.30	18.59	0.30	18.59	0.30	18.59	0.30	18.59	0.30
59171.26	19.24	0.30	19.24	0.30	19.24	0.30	19.24	0.30	19.24	0.30
59172.39	19.02	0.30	19.02	0.30	19.02	0.30	19.02	0.30	19.02	0.30
59172.39	17.97	0.30	17.97	0.30	17.97	0.30	17.97	0.30	17.97	0.30
59172.41	18.28	0.30	18.28	0.30	18.28	0.30	18.28	0.30	18.28	0.30
59172.42	18.43	0.30	18.43	0.30	18.43	0.30	18.43	0.30	18.43	0.30
59172.43	18.32	0.30	18.32	0.30	18.32	0.30	18.32	0.30	18.32	0.30
59172.44	18.30	0.30	18.30	0.30	18.30	0.30	18.30	0.30	18.30	0.30
59173.41	18.79	0.30	18.79	0.30	18.79	0.30	18.79	0.30	18.79	0.30
59173.42	18.27	0.30	18.27	0.30	18.27	0.30	18.27	0.30	18.27	0.30
59173.45	18.68	0.30	18.68	0.30	18.68	0.30	18.68	0.30	18.68	0.30
59173.45	18.39	0.30	18.39	0.30	18.39	0.30	18.39	0.30	18.39	0.30
59174.34	18.09	0.30	18.09	0.30	18.09	0.30	18.09	0.30	18.09	0.30
59176.33	18.05	0.30	18.05	0.30	18.05	0.30	18.05	0.30	18.05	0.30
59176.35	19.13	0.30	19.13	0.30	19.13	0.30	19.13	0.30	19.13	0.30
59178.32	18.11	0.30	18.11	0.30	18.11	0.30	18.11	0.30	18.11	0.30
59178.50	18.40	0.30	18.40	0.30	18.40	0.30	18.40	0.30	18.40	0.30
59178.52	17.94	0.30	17.94	0.30	17.94	0.30	17.94	0.30	17.94	0.30
59178.53	18.03	0.30	18.03	0.30	18.03	0.30	18.03	0.30	18.03	0.30
59178.53	17.91	0.30	17.91	0.30	17.91	0.30	17.91	0.30	17.91	0.30
59185.25	18.23	0.30	18.23	0.30	18.23	0.30	18.23	0.30	18.23	0.30
59185.40	18.22	0.30	18.22	0.30	18.22	0.30	18.22	0.30	18.22	0.30
59185.40	18.20	0.30	18.20	0.30	18.20	0.30	18.20	0.30	18.20	0.30
59187.25	18.20	0.30	18.20	0.30	18.20	0.30	18.20	0.30	18.20	0.30
59189.24	18.37	0.30	18.37	0.30	18.37	0.30	18.37	0.30	18.37	0.30
59190.41	18.35	0.30	18.35	0.30	18.35	0.30	18.35	0.30	18.35	0.30
59190.41	19.64	0.30	19.64	0.30	19.64	0.30	19.64	0.30	19.64	0.30
59192.37	19.69	0.30	19.69	0.30	19.69	0.30	19.69	0.30	19.69	0.30
59192.37	18.25	0.30	18.25	0.30	18.25	0.30	18.25	0.30	18.25	0.30
59193.33	18.79	0.30	18.79	0.30	18.79	0.30	18.79	0.30	18.79	0.30
59193.34	18.68	0.30	18.68	0.30	18.68	0.30	18.68	0.30	18.68	0.30
59193.35	18.69	0.30	18.69	0.30	18.69	0.30	18.69	0.30	18.69	0.30
59193.36	18.74	0.30	18.74	0.30	18.74	0.30	18.74	0.30	18.74	0.30
59194.25	18.70	0.30	18.70	0.30	18.70	0.30	18.70	0.30	18.70	0.30
59194.33	20.07	0.30	20.07	0.30	20.07	0.30	20.07	0.30	20.07	0.30
59194.33	18.65	0.30	18.65	0.30	18.65	0.30	18.65	0.30	18.65	0.30
59196.25	18.67	0.30	18.67	0.30	18.67	0.30	18.67	0.30	18.67	0.30
59198.21	19.05	0.30	19.05	0.30	19.05	0.30	19.05	0.30	19.05	0.30
59198.36	20.38	0.30	20.38	0.30	20.38	0.30	20.38	0.30	20.38	0.30
59198.37	18.91	0.30	18.91	0.30	18.91	0.30	18.91	0.30	18.91	0.30
59200.24	19.17	0.30	19.17	0.30	19.17	0.30	19.17	0.30	19.17	0.30
59217.31	20.25	0.30	20.25	0.30	20.25	0.30	20.25	0.30	20.25	0.30
59221.33	20.28	0.30	20.28	0.30	20.28	0.30	20.28	0.30	20.28	0.30
59221.34	20.32	0.30	20.32	0.30	20.32	0.30	20.32	0.30	20.32	0.30
59221.36	20.25	0.30	20.25	0.30	20.25	0.30	20.25	0.30	20.25	0.30
59458.57	23.87	0.30	23.87	0.30	23.87	0.30	23.87	0.30	23.87	0.30
59467.57	22.89	0.30	22.89	0.30	22.89	0.30	22.89	0.30	22.89	0.30
59467.57	23.31	0.30	23.31	0.30	23.31	0.30	23.31	0.30	23.31	0.30
59485.56	21.78	0.30	21.78	0.30	21.78	0.30	21.78	0.30	21.78	0.30
59491.50	22.32	0.30	22.32	0.30	22.32	0.30	22.32	0.30	22.32	0.30
59494.62	23.03	0.30	23.03	0.30	23.03	0.30	23.03	0.30	23.03	0.30
59516.46	22.55	0.30	22.55	0.30	22.55	0.30	22.55	0.30	22.55	0.30
59525.46	23.25	0.30	23.25	0.30	23.25	0.30	23.25	0.30	23.25	0.30
59529.48	22.86	0.30	22.86	0.30	22.86	0.30	22.86	0.30	22.86	0.30
59540.38	25.22	0.30	25.22	0.30	25.22	0.30	25.22	0.30	25.22	0.30
59544.42	22.93	0.30	22.93	0.30	22.93	0.30	22.93	0.30	22.93	0.30
#
## All light curves linearly interpolated
## Extrapolation done by assuming constant colour with reference band
