# ph	T_bb	err	R_bb	err	L_bb	err

59033.28	7.95e+03	6.15e+02	1.05e+15	1.47e+14	3.12e+42	1.30e+42
59034.60	7.95e+03	6.15e+02	2.02e+15	2.83e+14	1.16e+43	4.83e+42
59034.61	7.95e+03	6.15e+02	1.78e+15	2.50e+14	8.98e+42	3.76e+42
59034.61	7.95e+03	6.15e+02	2.19e+15	3.08e+14	1.36e+43	5.71e+42
59034.61	7.95e+03	6.15e+02	1.98e+15	2.79e+14	1.12e+43	4.68e+42
59034.61	7.95e+03	6.15e+02	1.94e+15	2.73e+14	1.07e+43	4.48e+42
59034.61	7.95e+03	6.15e+02	1.91e+15	2.68e+14	1.03e+43	4.32e+42
59036.26	7.95e+03	6.15e+02	9.92e+14	1.40e+14	2.80e+42	1.17e+42
59037.20	7.95e+03	6.15e+02	9.05e+14	1.27e+14	2.33e+42	9.75e+41
59037.22	7.95e+03	6.15e+02	8.04e+14	1.13e+14	1.84e+42	7.70e+41
59037.27	7.95e+03	6.15e+02	9.25e+14	1.30e+14	2.43e+42	1.02e+42
59037.27	7.95e+03	6.15e+02	9.27e+14	1.30e+14	2.44e+42	1.02e+42
59038.20	7.95e+03	6.15e+02	9.45e+14	1.33e+14	2.54e+42	1.06e+42
59038.35	7.95e+03	6.15e+02	9.34e+14	1.31e+14	2.48e+42	1.04e+42
59039.23	7.95e+03	6.15e+02	9.36e+14	1.32e+14	2.49e+42	1.04e+42
59040.27	7.95e+03	6.15e+02	8.41e+14	1.18e+14	2.01e+42	8.42e+41
59040.27	7.95e+03	6.15e+02	8.47e+14	1.19e+14	2.04e+42	8.53e+41
59042.23	7.95e+03	6.15e+02	9.24e+14	1.30e+14	2.43e+42	1.02e+42
59042.29	7.95e+03	6.15e+02	8.61e+14	1.21e+14	2.11e+42	8.81e+41
59042.29	7.95e+03	6.15e+02	5.82e+14	8.18e+13	9.63e+41	4.02e+41
59043.24	7.95e+03	6.15e+02	9.03e+14	1.27e+14	2.32e+42	9.70e+41
59044.22	7.95e+03	6.15e+02	9.09e+14	1.28e+14	2.35e+42	9.82e+41
59045.20	7.95e+03	6.15e+02	8.42e+14	1.18e+14	2.02e+42	8.44e+41
59045.24	7.95e+03	6.15e+02	7.16e+14	1.01e+14	1.46e+42	6.10e+41
59046.20	7.95e+03	6.15e+02	8.30e+14	1.17e+14	1.96e+42	8.20e+41
59047.22	7.95e+03	6.15e+02	8.13e+14	1.14e+14	1.88e+42	7.85e+41
59047.27	7.95e+03	6.15e+02	7.74e+14	1.09e+14	1.71e+42	7.13e+41
