# ph	Lobs	err	L+BB	err	

59313.53	1.00e+41	5.21e+40	1.59e+41	5.55e+40
59317.49	1.19e+41	6.18e+40	1.89e+41	6.58e+40
59326.39	6.56e+40	3.41e+40	1.04e+41	3.63e+40
59328.46	5.63e+40	2.93e+40	8.94e+40	3.11e+40
59328.46	1.39e+41	7.20e+40	2.20e+41	7.67e+40
59333.43	1.65e+41	8.55e+40	2.61e+41	9.10e+40
59333.43	2.24e+41	1.16e+41	3.55e+41	1.24e+41
59344.33	5.20e+40	2.70e+40	8.26e+40	2.88e+40
59382.27	9.77e+40	5.07e+40	1.55e+41	5.40e+40
59382.27	6.61e+40	3.43e+40	1.05e+41	3.66e+40
59383.27	1.04e+41	5.40e+40	1.65e+41	5.75e+40
59383.27	7.14e+40	3.71e+40	1.13e+41	3.95e+40
59384.27	2.48e+41	1.29e+41	3.94e+41	1.37e+41
59587.64	2.06e+41	1.07e+41	3.27e+41	1.14e+41
59588.65	2.42e+41	1.25e+41	3.84e+41	1.34e+41
59588.65	1.46e+41	7.61e+40	2.33e+41	8.10e+40
59594.60	2.78e+41	1.45e+41	4.42e+41	1.54e+41
59594.60	5.24e+40	2.72e+40	8.32e+40	2.90e+40
59596.62	1.33e+41	6.90e+40	2.11e+41	7.34e+40
59596.62	1.45e+41	7.52e+40	2.30e+41	8.00e+40
59597.60	3.91e+41	2.03e+41	6.21e+41	2.16e+41
59598.62	2.69e+41	1.40e+41	4.27e+41	1.49e+41
59598.62	2.40e+41	1.25e+41	3.82e+41	1.33e+41
59600.61	2.57e+41	1.34e+41	4.08e+41	1.42e+41
59600.62	1.36e+41	7.06e+40	2.16e+41	7.51e+40
59601.63	1.11e+40	5.77e+39	1.76e+40	6.14e+39
59602.65	1.06e+41	5.51e+40	1.68e+41	5.86e+40
59604.61	2.70e+41	1.40e+41	4.29e+41	1.49e+41
59604.61	2.17e+41	1.13e+41	3.44e+41	1.20e+41
59620.60	1.61e+40	8.38e+39	2.56e+40	8.92e+39
59620.61	2.17e+41	1.13e+41	3.45e+41	1.20e+41
59623.56	1.84e+41	9.57e+40	2.93e+41	1.02e+41
59623.56	1.52e+41	7.90e+40	2.41e+41	8.40e+40
59625.61	1.22e+41	6.36e+40	1.94e+41	6.77e+40
59625.61	1.08e+40	5.61e+39	1.72e+40	5.97e+39
59627.61	1.42e+41	7.39e+40	2.26e+41	7.87e+40
59650.48	1.27e+40	6.59e+39	2.02e+40	7.02e+39
59653.51	3.86e+41	2.00e+41	6.13e+41	2.13e+41
59653.51	3.94e+41	2.05e+41	6.26e+41	2.18e+41
59662.48	2.47e+40	1.28e+40	3.93e+40	1.37e+40
59662.48	1.61e+41	8.38e+40	2.56e+41	8.92e+40
59678.42	8.25e+40	4.28e+40	1.31e+41	4.56e+40
59678.42	1.33e+41	6.92e+40	2.11e+41	7.36e+40
59693.39	1.58e+41	8.21e+40	2.51e+41	8.74e+40
59693.39	3.17e+41	1.65e+41	5.04e+41	1.75e+41
59695.32	3.11e+40	1.62e+40	4.95e+40	1.72e+40
59695.32	1.53e+41	7.94e+40	2.43e+41	8.45e+40
59711.38	5.99e+40	3.11e+40	9.51e+40	3.31e+40
59712.33	2.10e+40	1.09e+40	3.34e+40	1.16e+40
59714.50	1.50e+41	7.77e+40	2.38e+41	8.27e+40
59717.35	1.47e+41	7.62e+40	2.33e+41	8.11e+40
59717.35	1.00e+41	5.22e+40	1.59e+41	5.55e+40
59726.26	1.82e+41	9.46e+40	2.89e+41	1.01e+41
59726.27	2.01e+41	1.05e+41	3.20e+41	1.11e+41
59731.26	1.36e+41	7.08e+40	2.16e+41	7.53e+40
59731.26	2.10e+41	1.09e+41	3.34e+41	1.16e+41
59734.27	1.83e+41	9.51e+40	2.91e+41	1.01e+41
59734.27	2.58e+41	1.34e+41	4.09e+41	1.42e+41
59767.27	1.73e+41	8.97e+40	2.74e+41	9.55e+40
59767.27	2.38e+41	1.24e+41	3.79e+41	1.32e+41
59772.29	1.42e+41	7.40e+40	2.26e+41	7.87e+40
59772.30	3.35e+41	1.74e+41	5.33e+41	1.85e+41
59776.30	1.71e+41	8.89e+40	2.72e+41	9.47e+40
59780.30	2.05e+41	1.06e+41	3.25e+41	1.13e+41
59780.31	1.45e+41	7.53e+40	2.30e+41	8.02e+40
59781.26	1.67e+41	8.68e+40	2.65e+41	9.24e+40
59789.27	3.87e+40	2.01e+40	6.14e+40	2.14e+40
59802.30	1.29e+41	6.71e+40	2.05e+41	7.15e+40
59806.32	6.18e+40	3.21e+40	9.82e+40	3.42e+40
59806.32	1.10e+41	5.74e+40	1.75e+41	6.11e+40
59811.25	2.31e+40	1.20e+40	3.67e+40	1.28e+40
59820.25	3.09e+40	1.61e+40	4.92e+40	1.71e+40

#KEY
# Lobs = integrate observed fluxes with no BB fit
# L+BB = observed flux + BB fit extrapolation
# See logL-obs_2020hgw_UBgVriz.txt and logL-bb_2020hgw_UBgVriz.txt for simple LC files
# Methodology:
# filters used:UBgVriz
# redshift used:0.043
# extinction used:0.0
# Wavelengths used in observer frame (data already K-corrected?)
# BB fit below 1A suppressed by factor (lamda/1)^0
