##phase	U	err	B	err	g	err	V	err	r	err	i	err	z	err	
#
59027.57	17.68	1.01	17.68	1.01	17.68	1.01	17.68	1.01	17.68	1.01	17.68	1.01	17.68	1.01
59028.22	19.05	1.01	19.05	1.01	19.05	1.01	19.05	1.01	19.05	1.01	19.05	1.01	19.05	1.01
59028.28	19.97	1.01	19.97	1.01	19.97	1.01	19.97	1.01	19.97	1.01	19.97	1.01	19.97	1.01
59028.28	19.05	1.01	19.05	1.01	19.05	1.01	19.05	1.01	19.05	1.01	19.05	1.01	19.05	1.01
59029.21	19.31	1.01	19.31	1.01	19.31	1.01	19.31	1.01	19.31	1.01	19.31	1.01	19.31	1.01
59030.28	19.04	1.01	19.04	1.01	19.04	1.01	19.04	1.01	19.04	1.01	19.04	1.01	19.04	1.01
59030.29	19.13	1.01	19.13	1.01	19.13	1.01	19.13	1.01	19.13	1.01	19.13	1.01	19.13	1.01
59031.22	19.04	1.01	19.04	1.01	19.04	1.01	19.04	1.01	19.04	1.01	19.04	1.01	19.04	1.01
59033.28	18.99	1.01	18.99	1.01	18.99	1.01	18.99	1.01	18.99	1.01	18.99	1.01	18.99	1.01
59033.28	18.99	1.01	18.99	1.01	18.99	1.01	18.99	1.01	18.99	1.01	18.99	1.01	18.99	1.01
59034.60	17.57	1.01	17.57	1.01	17.57	1.01	17.57	1.01	17.57	1.01	17.57	1.01	17.57	1.01
59034.61	17.84	1.01	17.84	1.01	17.84	1.01	17.84	1.01	17.84	1.01	17.84	1.01	17.84	1.01
59034.61	17.39	1.01	17.39	1.01	17.39	1.01	17.39	1.01	17.39	1.01	17.39	1.01	17.39	1.01
59034.61	17.61	1.01	17.61	1.01	17.61	1.01	17.61	1.01	17.61	1.01	17.61	1.01	17.61	1.01
59034.61	17.65	1.01	17.65	1.01	17.65	1.01	17.65	1.01	17.65	1.01	17.65	1.01	17.65	1.01
59034.61	17.69	1.01	17.69	1.01	17.69	1.01	17.69	1.01	17.69	1.01	17.69	1.01	17.69	1.01
59036.26	19.11	1.01	19.11	1.01	19.11	1.01	19.11	1.01	19.11	1.01	19.11	1.01	19.11	1.01
59037.20	19.31	1.01	19.31	1.01	19.31	1.01	19.31	1.01	19.31	1.01	19.31	1.01	19.31	1.01
59037.22	19.56	1.01	19.56	1.01	19.56	1.01	19.56	1.01	19.56	1.01	19.56	1.01	19.56	1.01
59037.27	19.26	1.01	19.26	1.01	19.26	1.01	19.26	1.01	19.26	1.01	19.26	1.01	19.26	1.01
59037.27	19.26	1.01	19.26	1.01	19.26	1.01	19.26	1.01	19.26	1.01	19.26	1.01	19.26	1.01
59038.20	19.21	1.01	19.21	1.01	19.21	1.01	19.21	1.01	19.21	1.01	19.21	1.01	19.21	1.01
59038.35	19.24	1.01	19.24	1.01	19.24	1.01	19.24	1.01	19.24	1.01	19.24	1.01	19.24	1.01
59039.23	19.23	1.01	19.23	1.01	19.23	1.01	19.23	1.01	19.23	1.01	19.23	1.01	19.23	1.01
59040.27	19.47	1.01	19.47	1.01	19.47	1.01	19.47	1.01	19.47	1.01	19.47	1.01	19.47	1.01
59040.27	19.45	1.01	19.45	1.01	19.45	1.01	19.45	1.01	19.45	1.01	19.45	1.01	19.45	1.01
59042.23	19.26	1.01	19.26	1.01	19.26	1.01	19.26	1.01	19.26	1.01	19.26	1.01	19.26	1.01
59042.29	19.42	1.01	19.42	1.01	19.42	1.01	19.42	1.01	19.42	1.01	19.42	1.01	19.42	1.01
59042.29	20.27	1.01	20.27	1.01	20.27	1.01	20.27	1.01	20.27	1.01	20.27	1.01	20.27	1.01
59043.24	19.31	1.01	19.31	1.01	19.31	1.01	19.31	1.01	19.31	1.01	19.31	1.01	19.31	1.01
59044.22	19.30	1.01	19.30	1.01	19.30	1.01	19.30	1.01	19.30	1.01	19.30	1.01	19.30	1.01
59045.20	19.46	1.01	19.46	1.01	19.46	1.01	19.46	1.01	19.46	1.01	19.46	1.01	19.46	1.01
59045.24	19.82	1.01	19.82	1.01	19.82	1.01	19.82	1.01	19.82	1.01	19.82	1.01	19.82	1.01
59046.20	19.50	1.01	19.50	1.01	19.50	1.01	19.50	1.01	19.50	1.01	19.50	1.01	19.50	1.01
59047.22	19.54	1.01	19.54	1.01	19.54	1.01	19.54	1.01	19.54	1.01	19.54	1.01	19.54	1.01
59047.27	19.65	1.01	19.65	1.01	19.65	1.01	19.65	1.01	19.65	1.01	19.65	1.01	19.65	1.01
59047.27	20.18	1.01	20.18	1.01	20.18	1.01	20.18	1.01	20.18	1.01	20.18	1.01	20.18	1.01
59048.21	19.45	1.01	19.45	1.01	19.45	1.01	19.45	1.01	19.45	1.01	19.45	1.01	19.45	1.01
59048.27	19.84	1.01	19.84	1.01	19.84	1.01	19.84	1.01	19.84	1.01	19.84	1.01	19.84	1.01
59051.20	19.52	1.01	19.52	1.01	19.52	1.01	19.52	1.01	19.52	1.01	19.52	1.01	19.52	1.01
59051.28	20.64	1.01	20.64	1.01	20.64	1.01	20.64	1.01	20.64	1.01	20.64	1.01	20.64	1.01
59051.28	19.81	1.01	19.81	1.01	19.81	1.01	19.81	1.01	19.81	1.01	19.81	1.01	19.81	1.01
59053.27	21.34	1.01	21.34	1.01	21.34	1.01	21.34	1.01	21.34	1.01	21.34	1.01	21.34	1.01
59053.28	19.89	1.01	19.89	1.01	19.89	1.01	19.89	1.01	19.89	1.01	19.89	1.01	19.89	1.01
59064.29	22.54	1.01	22.54	1.01	22.54	1.01	22.54	1.01	22.54	1.01	22.54	1.01	22.54	1.01
59072.27	21.99	1.01	21.99	1.01	21.99	1.01	21.99	1.01	21.99	1.01	21.99	1.01	21.99	1.01
59074.27	22.60	1.01	22.60	1.01	22.60	1.01	22.60	1.01	22.60	1.01	22.60	1.01	22.60	1.01
59078.26	22.49	1.01	22.49	1.01	22.49	1.01	22.49	1.01	22.49	1.01	22.49	1.01	22.49	1.01
59081.25	21.35	1.01	21.35	1.01	21.35	1.01	21.35	1.01	21.35	1.01	21.35	1.01	21.35	1.01
59093.25	21.85	1.01	21.85	1.01	21.85	1.01	21.85	1.01	21.85	1.01	21.85	1.01	21.85	1.01
59095.25	21.42	1.01	21.42	1.01	21.42	1.01	21.42	1.01	21.42	1.01	21.42	1.01	21.42	1.01
59095.25	21.36	1.01	21.36	1.01	21.36	1.01	21.36	1.01	21.36	1.01	21.36	1.01	21.36	1.01
59097.24	20.67	1.01	20.67	1.01	20.67	1.01	20.67	1.01	20.67	1.01	20.67	1.01	20.67	1.01
59097.24	21.15	1.01	21.15	1.01	21.15	1.01	21.15	1.01	21.15	1.01	21.15	1.01	21.15	1.01
59217.64	24.67	1.01	24.67	1.01	24.67	1.01	24.67	1.01	24.67	1.01	24.67	1.01	24.67	1.01
59220.66	22.95	1.01	22.95	1.01	22.95	1.01	22.95	1.01	22.95	1.01	22.95	1.01	22.95	1.01
59242.64	19.53	1.01	19.53	1.01	19.53	1.01	19.53	1.01	19.53	1.01	19.53	1.01	19.53	1.01
59242.64	20.49	1.01	20.49	1.01	20.49	1.01	20.49	1.01	20.49	1.01	20.49	1.01	20.49	1.01
59245.66	22.03	1.01	22.03	1.01	22.03	1.01	22.03	1.01	22.03	1.01	22.03	1.01	22.03	1.01
59246.64	22.94	1.01	22.94	1.01	22.94	1.01	22.94	1.01	22.94	1.01	22.94	1.01	22.94	1.01
59257.57	22.71	1.01	22.71	1.01	22.71	1.01	22.71	1.01	22.71	1.01	22.71	1.01	22.71	1.01
59313.53	22.27	1.01	22.27	1.01	22.27	1.01	22.27	1.01	22.27	1.01	22.27	1.01	22.27	1.01
59317.49	22.08	1.01	22.08	1.01	22.08	1.01	22.08	1.01	22.08	1.01	22.08	1.01	22.08	1.01
59326.39	22.73	1.01	22.73	1.01	22.73	1.01	22.73	1.01	22.73	1.01	22.73	1.01	22.73	1.01
59328.46	22.89	1.01	22.89	1.01	22.89	1.01	22.89	1.01	22.89	1.01	22.89	1.01	22.89	1.01
59328.46	21.91	1.01	21.91	1.01	21.91	1.01	21.91	1.01	21.91	1.01	21.91	1.01	21.91	1.01
