59169.332 19.389 0.159 Misc/Atlas.orange AB
59169.351 20.391 0.387 Misc/Atlas.orange AB
59169.354 19.689 0.185 Misc/Atlas.orange AB
59169.362 19.673 0.202 Misc/Atlas.orange AB
59171.333  -1.561 Misc/Atlas.cyan AB
59185.369 20.087 0.588 Misc/Atlas.orange AB
59185.375 19.652 0.337 Misc/Atlas.orange AB
59185.379 21.696 2.415 Misc/Atlas.orange AB
59185.393 23.076 7.222 Misc/Atlas.orange AB
59187.362 20.037 0.371 Misc/Atlas.orange AB
59187.366 19.396 0.226 Misc/Atlas.orange AB
59187.372 19.796 0.344 Misc/Atlas.orange AB
59187.384 19.955 0.42 Misc/Atlas.orange AB
59189.285  -2.728 Misc/Atlas.orange AB
59189.288 20.459 0.431 Misc/Atlas.orange AB
59189.294 19.692 0.207 Misc/Atlas.orange AB
59189.312 20.311 0.373 Misc/Atlas.orange AB
59191.262 21.159 0.673 Misc/Atlas.cyan AB
59191.265 21.684 0.892 Misc/Atlas.cyan AB
59191.271 20.879 0.511 Misc/Atlas.cyan AB
59191.282 21.871 1.232 Misc/Atlas.cyan AB
59193.297 20.875 0.645 Misc/Atlas.orange AB
59193.302 20.639 0.579 Misc/Atlas.orange AB
59193.317 20.015 0.362 Misc/Atlas.orange AB
59193.328 19.922 0.3 Misc/Atlas.orange AB
59195.315 22.16 1.868 Misc/Atlas.cyan AB
59195.319 21.525 1.101 Misc/Atlas.cyan AB
59195.338 24.154 12.167 Misc/Atlas.cyan AB
59195.344 21.374 0.96 Misc/Atlas.cyan AB
59197.27 21.823 1.5 Misc/Atlas.cyan AB
59197.274 20.549 0.432 Misc/Atlas.cyan AB
59197.279  -1.215 Misc/Atlas.cyan AB
59197.296 20.951 0.532 Misc/Atlas.cyan AB
59199.279  -7.016 Misc/Atlas.cyan AB
59199.282 21.821 1.612 Misc/Atlas.cyan AB
59199.32 21.66 1.462 Misc/Atlas.cyan AB
59737.604  -2.484 PAN-STARRS/PS1.r AB
59737.607  -5.111 PAN-STARRS/PS1.z AB
59738.601  -1.036 PAN-STARRS/PS1.i AB
59738.604  -0.82 PAN-STARRS/PS1.r AB
59739.604 23.779 3.19 PAN-STARRS/PS1.r AB
59739.607 21.978 0.963 PAN-STARRS/PS1.z AB
59740.598 24.614 4.341 PAN-STARRS/PS1.r AB
59740.601  -3.821 PAN-STARRS/PS1.z AB
59757.582  -1.253 PAN-STARRS/PS1.i AB
59757.586 23.093 0.938 PAN-STARRS/PS1.r AB
59765.565  -2.173 PAN-STARRS/PS1.r AB
59765.568 25.518 26.213 PAN-STARRS/PS1.z AB
59769.607  -2.789 PAN-STARRS/PS1.r AB
59769.61  -3.584 PAN-STARRS/PS1.i AB
59774.558 23.203 2.313 PAN-STARRS/PS1.r AB
59774.561  -15.418 PAN-STARRS/PS1.i AB
59776.545  -2.937 PAN-STARRS/PS1.r AB
59776.548 22.754 3.875 PAN-STARRS/PS1.z AB
59784.541  -4.065 PAN-STARRS/PS1.r AB
59788.548  -1.143 PAN-STARRS/PS1.z AB
59795.53 22.868 1.553 PAN-STARRS/PS1.i AB
59795.533 24.969 11.99 PAN-STARRS/PS1.r AB
59799.479  -104.995 PAN-STARRS/PS1.i AB
59799.482  -3.156 PAN-STARRS/PS1.r AB
