"Time (MJD)" "Temp./1e3 (K)" "Temp. Err." "Radius/1e15 (cm)" "Radius Err." "Bol. Lum" "Bol. Err"
102.780 2.500 0.000 3.713 0.012 420619548508176442949634173908082101321728.000 3908424796811514148749862591865779388416.000
103.787 2.500 0.000 3.660 0.013 397936810772922684015358462094883420110848.000 3593179923823996809699149042866035097600.000
104.794 2.500 0.000 3.576 0.013 374380109203397584818079560444167174750208.000 3035792707422855575370230624003295281152.000
105.800 2.500 0.000 3.479 0.013 350841451281575821012158242492511686754304.000 2712877724641880012694087882969844809728.000
106.807 2.500 0.000 3.342 0.013 321552782272233078489458861235750249168896.000 2484620069438676701067904881419156979712.000
107.814 2.500 0.000 3.192 0.014 292202266516031693398156331552319517753344.000 3343306992405296737792466908519107395584.000
108.821 2.500 0.000 3.100 0.014 274221557389284014936979325661512030224384.000 2815401113421120378501258456363377360896.000
109.827 2.500 0.000 3.114 0.016 274975094347412014687675607997117783605248.000 2868145080914207155895171862895150497792.000
110.834 2.500 0.000 3.026 0.016 254801044517663954623237719599587728031744.000 2732568055257000803560098212707339075584.000
111.841 2.500 0.000 2.939 0.016 240471915631699732858738157405619592626176.000 2654201656812155528487329897550599684096.000
112.848 2.500 0.000 2.855 0.016 226948617402924175164758243574616829198336.000 2579405198013378716366040307636805566464.000
113.855 2.500 0.000 2.774 0.016 214185831145035546132288748925763406790656.000 2507721994936316986496871731742682120192.000
114.861 2.500 0.000 2.695 0.016 202140786905610527802014433007925096087552.000 2438772930499359705382707294426768605184.000
115.868 2.500 0.000 2.618 0.016 190773120118844217969547409415205487116288.000 2372242186667799243915596890562787016704.000
116.875 2.500 0.000 2.543 0.016 180044736320866406017305668697252192845824.000 2307870158824662989272393556342329049088.000
117.882 2.500 0.000 2.471 0.016 169919683474210733233882312126323761348608.000 2245443411281261269701761111984124723200.000
118.888 2.500 0.000 2.400 0.016 160364031473360747170512625733691246641152.000 2184786812984952346447424456423815249920.000
119.895 2.500 0.000 2.332 0.016 151345758427506111706576589854209638137856.000 2125758404757742039629032111774478893056.000
120.902 2.500 0.000 2.265 0.016 142834643339259901926959276726038025994240.000 2068242337952855994612366201159640154112.000
121.909 2.500 0.000 2.201 0.016 134802164819607392130438516858327966679040.000 2012144461636129265171883676292578541568.000
122.916 2.500 0.000 2.138 0.016 127221405499553988485780673907547063713792.000 1957387414922771532636819542090992058368.000
123.922 2.500 0.000 2.077 0.016 120066961818036208127297391748963920510976.000 1903909443363938681593183929193052766208.000
124.929 2.500 0.000 2.018 0.016 113314858883717534548737588670108123791360.000 1851659516947399200755280809017336659968.000
125.936 2.500 0.000 1.960 0.017 106942470125257411620309842298114500722688.000 1800595861461488059336758407223736008704.000
126.943 2.500 0.000 1.915 0.017 102113344166093678586462429782577411784704.000 1771232689302212276922860590817018380288.000
127.949 2.500 0.000 1.908 0.017 101343222117893113176792945919905673248768.000 1810720116094115083482619539712987103232.000
128.956 2.500 0.000 1.901 0.017 100578909458930412601142759194530014035968.000 1850755326790164582422975257362181390336.000
129.963 2.500 0.000 1.894 0.018 99820362182302755903446165016857251151872.000 1891342056116784323662587712763720630272.000
