# SN1987A    bands=BVRI 
# mu=18.49+/-0.00  ABg=0.79+/-0.00 ABi=0.00+/-0.00 
368.87  40.277  0.015 
369.63  40.281  0.015 
370.62  40.275  0.015 
371.85  40.263  0.015 
373.61  40.258  0.015 
374.61  40.256  0.015 
377.88  40.235  0.015 
380.58  40.226  0.015 
381.85  40.218  0.015 
383.59  40.217  0.015 
385.58  40.211  0.015 
386.55  40.207  0.015 
386.84  40.199  0.015 
387.55  40.205  0.015 
389.56  40.192  0.015 
390.56  40.189  0.015 
390.87  40.177  0.015 
391.56  40.184  0.015 
392.56  40.180  0.015 
393.56  40.176  0.015 
393.91  40.166  0.015 
394.56  40.171  0.015 
395.86  40.157  0.015 
396.55  40.162  0.015 
397.55  40.158  0.015 
398.55  40.151  0.015 
399.82  40.142  0.015 
400.55  40.143  0.015 
401.55  40.139  0.015 
401.84  40.133  0.015 
401.84  40.133  0.015 
402.54  40.136  0.015 
403.55  40.132  0.015 
408.86  40.101  0.015 
409.56  40.105  0.015 
410.54  40.100  0.015 
411.67  40.096  0.015 
412.54  40.092  0.015 
413.54  40.085  0.015 
414.54  40.066  0.015 
415.57  40.078  0.015 
415.81  40.068  0.015 
416.59  40.075  0.015 
417.54  40.067  0.015 
418.53  40.061  0.015 
418.83  40.056  0.015 
420.53  40.051  0.015 
421.85  40.041  0.015 
424.54  40.036  0.015 
425.54  40.029  0.015 
426.82  40.018  0.015 
428.54  40.016  0.015 
429.64  40.014  0.015 
430.68  40.007  0.015 
431.55  40.002  0.015 
432.54  39.995  0.015 
433.54  39.994  0.015 
434.53  39.988  0.014 
436.52  39.980  0.014 
436.83  39.973  0.014 
437.52  39.973  0.014 
438.52  39.973  0.014 
439.52  39.965  0.014 
439.82  39.957  0.014 
440.52  39.959  0.014 
441.53  39.955  0.014 
442.53  39.940  0.015 
447.53  39.928  0.014 
448.52  39.922  0.014 
449.55  39.915  0.014 
455.80  39.882  0.014 
461.56  39.850  0.014 
467.56  39.825  0.014 
471.98  39.797  0.014 
472.98  39.793  0.014 
473.51  39.797  0.014 
476.83  39.775  0.014 
476.83  39.776  0.014 
478.52  39.770  0.014 
479.53  39.765  0.014 
480.53  39.759  0.014 
481.52  39.753  0.014 
484.54  39.739  0.014 
486.98  39.730  0.014 
487.94  39.720  0.014 
493.97  39.683  0.014 
494.21  39.682  0.014 
503.96  39.642  0.014 
504.96  39.616  0.014 
505.96  39.611  0.014 
506.94  39.611  0.014 
509.94  39.594  0.014 
512.96  39.575  0.014 
516.23  39.553  0.014 
517.23  39.546  0.014 
517.94  39.544  0.014 
518.19  39.539  0.014 
518.93  39.538  0.014 
522.93  39.516  0.014 
526.20  39.488  0.014 
526.93  39.485  0.014 
530.94  39.459  0.014 
532.21  39.447  0.014 
534.94  39.431  0.014 
538.92  39.400  0.014 
544.95  39.357  0.014 
548.18  39.329  0.014 
549.90  39.316  0.014 
558.86  39.253  0.014 
562.83  39.218  0.014 
563.21  39.222  0.014 
566.80  39.186  0.014 
569.18  39.168  0.014 
571.10  39.152  0.014 
572.80  39.138  0.014 
575.15  39.114  0.014 
576.84  39.106  0.014 
578.92  39.091  0.014 
581.01  39.069  0.014 
581.87  39.067  0.014 
583.99  39.044  0.014 
586.81  39.020  0.014 
589.09  39.002  0.014 
589.87  39.000  0.014 
593.91  38.960  0.014 
594.84  38.955  0.014 
596.95  38.934  0.014 
598.72  38.920  0.014 
599.11  38.918  0.014 
603.09  38.888  0.014 
603.89  38.887  0.014 
606.99  38.858  0.014 
608.77  38.842  0.014 
609.11  38.845  0.015 
611.12  38.833  0.015 
612.73  38.819  0.014 
616.03  38.789  0.015 
616.73  38.789  0.015 
620.78  38.758  0.015 
620.99  38.749  0.015 
625.74  38.725  0.015 
630.77  38.695  0.015 
634.93  38.656  0.015 
635.87  38.663  0.015 
638.03  38.634  0.015 
