"Time (MJD)" "Temp./1e3 (K)" "Temp. Err." "Radius/1e15 (cm)" "Radius Err." "Log10(Bol. Lum)" "Log10(Bol. Err)"
117.783 2.500 0.000 2.301 0.019 147313477436916679202631314176864535183360.000 2375389214001818294631343932682696392704.000
118.786 2.500 0.000 2.287 0.019 145634751862999419281276476352730337640448.000 2364597098818895992732125758210141323264.000
119.788 2.500 0.000 2.274 0.019 143971890748303012707248400091248343384064.000 2353072929766065163588021106055378370560.000
120.791 2.500 0.000 2.261 0.019 142324861650378909854207304274773010284544.000 2340838093318128329151232435861409759232.000
121.793 2.500 0.000 2.248 0.019 140693629218944644901598533688862791696384.000 2327910605243890509215026782091410931712.000
122.796 2.500 0.000 2.235 0.019 139078155029423048540543956479894884450304.000 2314311553835787815169629824990083809280.000
123.798 2.500 0.000 2.222 0.019 137478397335574477386880023859771656372224.000 2300059909678993075922437329786666745856.000
124.801 2.500 0.000 2.210 0.019 135894311268285631688679525164624715448320.000 2285176719650071455085854977511340900352.000
125.803 2.500 0.000 2.197 0.019 134325848998984449182137853733011252576256.000 2269681152273637924263450124128125714432.000
126.805 2.500 0.000 2.184 0.019 132772959524520807927687019610210222211072.000 2253593722327525737071319821289288368128.000
127.808 2.500 0.000 2.171 0.019 131235588626163340929093487244545982726144.000 2236935506130868439899009677756182036480.000
128.810 2.500 0.000 2.159 0.018 129713679543748369918159820104763820736512.000 2219725425693147664075050491681899020288.000
129.813 2.500 0.000 2.146 0.018 128207172346591679515001056723913823748096.000 2201983135317454269067580334038447030272.000
130.815 2.500 0.000 2.134 0.018 126716004322648218404386976449645359661056.000 2183728139463153186769112889422304509952.000
131.818 2.500 0.000 2.121 0.018 125240110167820153252396769667596203065344.000 2164982927060559871670930769117741842432.000
132.820 2.500 0.000 2.109 0.018 123779421814217872598246736614106528219136.000 2145765883318212169037316218490051362816.000
133.823 2.500 0.000 2.096 0.018 122333868691509129616193767832490371710976.000 2126096156004507799430612437573870551040.000
134.825 2.500 0.000 2.084 0.018 120903377934635167702298049913840759472128.000 2105995045490435112738979540126591352832.000
135.828 2.500 0.000 2.072 0.018 119487874014187163828987638039653054939136.000 2085478903874970416734877581546981687296.000
136.830 2.500 0.000 2.060 0.018 118087279529276262062624664229177452396544.000 2064571331683187669820625358451258687488.000
137.832 2.500 0.000 2.048 0.018 116701514821835172079818108671809244102656.000 2043288109398016364251074166776601247744.000
138.835 2.500 0.000 2.036 0.018 115330497934847673733108953827709751918592.000 2021650090774383443715760596082413797376.000
139.837 2.500 0.000 2.024 0.018 113974145356586040725518431737279158419456.000 1999675111036571083033579481358833549312.000
140.840 2.500 0.000 2.012 0.018 112632371517303983261799056573101030506496.000 1977380430901994047174362465729878425600.000
141.842 2.500 0.000 2.000 0.018 111305089057660946962676988546397797089280.000 1954790490557993470168486594603103813632.000
142.845 2.500 0.000 1.988 0.017 109992209087098574736169039641933508509696.000 1931914349022856630383859225160532885504.000
143.847 2.500 0.000 1.976 0.017 108693641032756334025811551802017015922688.000 1908778673240060561881154120600413798400.000
144.850 2.500 0.000 1.964 0.017 107409292870079068662308053522804639793152.000 1885397613424289182493390343095262904320.000
145.852 2.500 0.000 1.953 0.017 106139071175316488504573130587428404330496.000 1861789155958825316349760313558531309568.000
146.855 2.500 0.000 1.941 0.017 104882881174041753399444335180117413199872.000 1837971216733364153764007285283245522944.000
147.857 2.500 0.000 1.930 0.017 103640626825237177010410558839978396221440.000 1813956287203687472512196014997254438912.000
148.860 2.500 0.000 1.918 0.017 102412210931277597582564333097532344238080.000 1789780159939726729979927235114800513024.000
149.862 2.500 0.000 1.907 0.017 101197535142131694979365930284853797847040.000 1765435734260887065794529856196765024256.000
150.864 2.500 0.000 1.895 0.016 99996500035462842896164552720718294417408.000 1739730433836849494814053991017418326016.000
151.867 2.500 0.000 1.884 0.016 98809005159475586959596426243603523698688.000 1716328735889651702663410369321156739072.000
152.869 2.500 0.000 1.873 0.016 97634949105438891875322152227578077773824.000 1691617636249241999706846732467394576384.000
153.872 2.500 0.000 1.862 0.016 96474229506641939004889489320424039776256.000 1666802959134796047469376739750786891776.000
154.874 2.500 0.000 1.851 0.016 95326743088697433005832504232826990755840.000 1641913454773679970833781961505885913088.000
155.877 2.500 0.000 1.840 0.016 94192385709257194172025141717689713033216.000 1616964413357266804666378427460785012736.000
156.879 2.500 0.000 1.829 0.016 93071052304098419011819376043265682833408.000 1591968911642134673638824593162317594624.000
