"Time (MJD)" LasCumbres/LasCumbres.SDSS_gp LasCumbres/LasCumbres.SDSS_gp_err LasCumbres/LasCumbres.SDSS_ip LasCumbres/LasCumbres.SDSS_ip_err LasCumbres/LasCumbres.SDSS_rp LasCumbres/LasCumbres.SDSS_rp_err LasCumbres/LasCumbres.SDSS_up LasCumbres/LasCumbres.SDSS_up_err PAN-STARRS/PS1.g PAN-STARRS/PS1.g_err PAN-STARRS/PS1.i PAN-STARRS/PS1.i_err PAN-STARRS/PS1.r PAN-STARRS/PS1.r_err PAN-STARRS/PS1.z PAN-STARRS/PS1.z_err Palomar/ZTF.g Palomar/ZTF.g_err Palomar/ZTF.r Palomar/ZTF.r_err SLOAN/SDSS.i SLOAN/SDSS.i_err Swift/UVOT.B Swift/UVOT.B_err Swift/UVOT.U Swift/UVOT.U_err Swift/UVOT.UVM2 Swift/UVOT.UVM2_err Swift/UVOT.UVW1 Swift/UVOT.UVW1_err Swift/UVOT.UVW2 Swift/UVOT.UVW2_err Swift/UVOT.V Swift/UVOT.V_err "Temp./1e3 (K)" "Temp. Err." "Radius/1e15 (cm)" "Radius Err." "Log10(Bol. Lum)" "Log10(Bol. Err)"
-3.000 -21.884 -0.136 -21.767 -0.123 -21.914 -0.122 -22.357 -0.116 -22.387 -0.164 -21.639 -0.098 -22.316 -0.094 -21.251 -0.043 -21.905 -0.062 -21.408 -0.052 -21.302 -0.045 -21.585 -0.046 -20.543 -0.049 -20.140 -0.958 -20.919 -0.063 -21.005 -0.054 -20.605 -0.079 21.643 5.032 1.822 0.382 44.715 44.724
-2.000 -22.035 -0.077 -22.049 -0.068 -22.075 -0.068 -22.542 -0.063 -22.517 -0.094 -21.926 -0.051 -22.381 -0.048 -21.733 -0.026 -22.147 -0.030 -21.900 -0.023 -21.708 -0.020 -21.846 -0.020 -21.212 -0.031 -20.889 -0.783 -21.404 -0.030 -21.470 -0.025 -21.148 -0.042 17.166 1.951 2.925 0.334 44.724 44.430
-1.000 -22.016 -0.045 -22.150 -0.039 -22.121 -0.039 -22.624 -0.036 -22.566 -0.047 -22.109 -0.024 -22.423 -0.020 -22.088 -0.027 -22.318 -0.013 -22.218 -0.010 -22.004 -0.009 -22.018 -0.009 -21.733 -0.034 -21.500 -0.588 -21.770 -0.012 -21.816 -0.010 -21.564 -0.022 14.884 0.654 3.984 0.186 44.744 44.043
-0.000 -21.853 -0.036 -22.088 -0.031 -22.072 -0.031 -22.625 -0.029 -22.557 -0.021 -22.207 -0.014 -22.455 -0.009 -22.326 -0.027 -22.428 -0.008 -22.394 -0.006 -22.203 -0.006 -22.133 -0.006 -22.103 -0.035 -21.942 -0.377 -22.021 -0.006 -22.052 -0.007 -21.854 -0.011 13.102 0.523 4.960 0.226 44.713 43.977
1.000 -21.585 -0.034 -21.894 -0.028 -21.952 -0.028 -22.569 -0.027 -22.511 -0.014 -22.244 -0.012 -22.483 -0.007 -22.460 -0.023 -22.488 -0.008 -22.469 -0.006 -22.326 -0.005 -22.214 -0.003 -22.334 -0.031 -22.188 -0.156 -22.173 -0.005 -22.195 -0.006 -22.032 -0.005 11.675 0.502 5.889 0.305 44.662 43.965
2.000 -21.256 -0.034 -21.609 -0.027 -21.786 -0.027 -22.481 -0.025 -22.444 -0.015 -22.242 -0.011 -22.506 -0.006 -22.513 -0.019 -22.507 -0.007 -22.479 -0.006 -22.390 -0.005 -22.277 -0.003 -22.448 -0.028 -22.223 -0.086 -22.245 -0.005 -22.265 -0.006 -22.121 -0.004 10.682 0.402 6.699 0.318 44.619 43.870
3.000 -20.907 -0.037 -21.274 -0.029 -21.594 -0.028 -22.377 -0.027 -22.365 -0.015 -22.221 -0.012 -22.519 -0.008 -22.510 -0.018 -22.494 -0.006 -22.459 -0.007 -22.414 -0.007 -22.326 -0.004 -22.477 -0.029 -22.046 -0.304 -22.261 -0.007 -22.282 -0.006 -22.144 -0.005 10.178 0.248 7.225 0.238 44.601 43.672
4.000 -20.577 -0.042 -20.925 -0.035 -21.394 -0.033 -22.269 -0.030 -22.278 -0.015 -22.194 -0.017 -22.519 -0.010 -22.474 -0.021 -22.460 -0.005 -22.431 -0.007 -22.414 -0.008 -22.360 -0.005 -22.455 -0.033 -21.666 -0.520 -22.245 -0.008 -22.266 -0.006 -22.129 -0.005 9.820 0.181 7.572 0.196 44.580 43.534
5.000 -20.289 -0.045 -20.590 -0.039 -21.194 -0.036 -22.163 -0.033 -22.183 -0.015 -22.166 -0.023 -22.503 -0.011 -22.426 -0.024 -22.415 -0.003 -22.408 -0.006 -22.404 -0.009 -22.377 -0.005 -22.411 -0.035 -21.107 -0.721 -22.215 -0.009 -22.235 -0.005 -22.098 -0.004 9.621 0.181 7.702 0.208 44.559 43.525
6.000 -20.056 -0.046 -20.284 -0.040 -20.998 -0.038 -22.059 -0.034 -22.078 -0.014 -22.139 -0.029 -22.476 -0.010 -22.380 -0.025 -22.367 -0.003 -22.393 -0.006 -22.392 -0.008 -22.377 -0.005 -22.371 -0.035 -20.400 -0.903 -22.187 -0.009 -22.202 -0.005 -22.068 -0.004 9.382 0.208 7.866 0.258 44.533 43.575
7.000 -19.877 -0.051 -20.009 -0.045 -20.804 -0.044 -21.953 -0.038 -21.960 -0.012 -22.109 -0.034 -22.442 -0.008 -22.343 -0.024 -22.323 -0.003 -22.387 -0.006 -22.385 -0.008 -22.365 -0.004 -22.349 -0.032 -19.582 -1.063 -22.168 -0.008 -22.175 -0.006 -22.049 -0.006 9.027 0.241 8.258 0.345 44.509 43.641
8.000 -19.737 -0.069 -19.755 -0.062 -20.608 -0.059 -21.843 -0.050 -21.831 -0.011 -22.074 -0.037 -22.409 -0.007 -22.318 -0.022 -22.291 -0.003 -22.385 -0.006 -22.383 -0.007 -22.349 -0.003 -22.348 -0.029 -18.695 -1.198 -22.160 -0.008 -22.159 -0.007 -22.044 -0.008 8.803 0.281 8.535 0.433 44.494 43.706
9.000 -19.614 -0.102 -19.508 -0.090 -20.403 -0.084 -21.723 -0.070 -21.693 -0.011 -22.031 -0.036 -22.382 -0.007 -22.303 -0.023 -22.272 -0.003 -22.383 -0.006 -22.388 -0.007 -22.337 -0.003 -22.365 -0.030 -17.780 -1.309 -22.160 -0.007 -22.155 -0.007 -22.050 -0.009 8.692 0.401 8.633 0.637 44.482 43.855
10.000 -19.484 -0.142 -19.249 -0.123 -20.183 -0.112 -21.595 -0.092 -21.552 -0.011 -21.979 -0.030 -22.363 -0.007 -22.292 -0.027 -22.265 -0.003 -22.381 -0.006 -22.396 -0.007 -22.335 -0.004 -22.390 -0.033 -16.873 -1.397 -22.164 -0.007 -22.162 -0.006 -22.062 -0.009 8.802 0.743 8.301 1.111 44.469 44.104
11.000 -19.323 -0.183 -18.964 -0.153 -19.947 -0.138 -21.460 -0.112 -21.413 -0.012 -21.921 -0.021 -22.349 -0.007 -22.280 -0.029 -22.267 -0.003 -22.376 -0.006 -22.403 -0.006 -22.343 -0.005 -22.414 -0.036 -16.009 -1.464 -22.166 -0.007 -22.175 -0.005 -22.075 -0.008 9.734 1.540 6.779 1.575 44.468 44.363
12.000 -19.115 -0.218 -18.645 -0.172 -19.693 -0.156 -21.322 -0.123 -21.281 -0.012 -21.862 -0.015 -22.335 -0.007 -22.264 -0.029 -22.271 -0.003 -22.367 -0.005 -22.406 -0.005 -22.358 -0.005 -22.427 -0.035 -15.210 -1.513 -22.166 -0.006 -22.189 -0.003 -22.085 -0.007 11.062 2.894 5.212 1.801 44.462 44.561
13.000 -18.849 -0.243 -18.295 -0.177 -19.426 -0.161 -21.186 -0.124 -21.160 -0.012 -21.807 -0.019 -22.315 -0.007 -22.241 -0.026 -22.271 -0.003 -22.355 -0.005 -22.402 -0.005 -22.376 -0.005 -22.427 -0.032 -14.495 -1.548 -22.162 -0.006 -22.200 -0.003 -22.089 -0.007 13.677 5.782 3.233 1.603 44.416 44.708
14.000 -18.527 -0.255 -17.923 -0.164 -19.152 -0.152 -21.059 -0.113 -21.049 -0.013 -21.759 -0.028 -22.287 -0.007 -22.212 -0.021 -22.262 -0.004 -22.339 -0.006 -22.392 -0.005 -22.388 -0.005 -22.414 -0.027 -13.872 -1.572 -22.158 -0.006 -22.206 -0.004 -22.087 -0.008 15.557 11.479 1.744 1.435 44.104 44.632
15.000 -18.161 -0.255 -17.550 -0.134 -18.879 -0.131 -20.943 -0.092 -20.947 -0.014 -21.722 -0.036 -22.248 -0.007 -22.178 -0.018 -22.243 -0.005 -22.321 -0.006 -22.377 -0.006 -22.390 -0.005 -22.394 -0.022 -13.344 -1.588 -22.156 -0.006 -22.205 -0.005 -22.083 -0.008 16.580 19.502 0.971 1.287 43.706 44.438
16.000 -17.768 -0.247 -17.197 -0.091 -18.617 -0.108 -20.839 -0.068 -20.850 -0.016 -21.692 -0.041 -22.204 -0.008 -22.142 -0.018 -22.214 -0.006 -22.301 -0.007 -22.361 -0.007 -22.383 -0.005 -22.375 -0.019 -12.908 -1.598 -22.157 -0.008 -22.201 -0.006 -22.079 -0.008 15.380 23.542 0.661 1.252 43.241 44.098
17.000 -17.374 -0.234 -16.887 -0.042 -18.375 -0.099 -20.745 -0.058 -20.753 -0.019 -21.667 -0.046 -22.159 -0.009 -22.106 -0.019 -22.179 -0.006 -22.281 -0.006 -22.346 -0.009 -22.368 -0.005 -22.362 -0.020 -12.557 -1.604 -22.163 -0.010 -22.194 -0.005 -22.076 -0.008 13.712 19.649 0.510 1.180 42.817 43.684
18.000 -17.001 -0.218 -16.637 -0.006 -18.160 -0.114 -20.657 -0.072 -20.654 -0.021 -21.640 -0.053 -22.118 -0.011 -22.071 -0.020 -22.141 -0.007 -22.263 -0.007 -22.336 -0.011 -22.350 -0.006 -22.356 -0.023 -12.282 -1.607 -22.172 -0.012 -22.190 -0.006 -22.076 -0.009 14.256 18.045 0.355 1.007 42.570 43.451
19.000 -16.675 -0.199 -16.458 -0.046 -17.980 -0.142 -20.570 -0.095 -20.550 -0.022 -21.606 -0.062 -22.085 -0.011 -22.037 -0.020 -22.106 -0.008 -22.248 -0.009 -22.331 -0.012 -22.335 -0.007 -22.354 -0.023 -12.071 -1.609 -22.180 -0.013 -22.188 -0.007 -22.079 -0.011 18.242 49.426 0.211 0.873 42.544 43.679
20.000 -16.412 -0.175 -16.352 -0.070 -17.837 -0.167 -20.478 -0.112 -20.443 -0.022 -21.560 -0.070 -22.062 -0.011 -22.005 -0.023 -22.075 -0.010 -22.240 -0.011 -22.328 -0.012 -22.325 -0.008 -22.347 -0.024 -11.913 -1.610 -22.187 -0.012 -22.191 -0.009 -22.084 -0.013 22.993 98.721 0.140 0.763 42.592 43.900
21.000 -16.222 -0.144 -16.312 -0.078 -17.732 -0.181 -20.378 -0.118 -20.335 -0.020 -21.502 -0.074 -22.044 -0.011 -21.974 -0.029 -22.048 -0.011 -22.236 -0.012 -22.327 -0.011 -22.320 -0.009 -22.320 -0.038 -11.797 -1.611 -22.188 -0.011 -22.196 -0.010 -22.091 -0.016 25.388 125.795 0.117 0.698 42.610 43.974
