# ph	T_bb	err	R_bb	err	L_bb	err

59173.38	9.07e+03	1.17e+03	4.33e+14	7.38e+13	9.06e+41	5.61e+41
59173.38	9.07e+03	1.17e+03	7.52e+14	1.28e+14	2.73e+42	1.69e+42
59182.36	9.07e+03	1.17e+03	6.76e+14	1.15e+14	2.21e+42	1.37e+42
59182.36	9.07e+03	1.17e+03	7.64e+14	1.30e+14	2.82e+42	1.75e+42
59185.37	9.07e+03	1.17e+03	7.33e+14	1.25e+14	2.60e+42	1.61e+42
59185.38	9.07e+03	1.17e+03	8.96e+14	1.53e+14	3.88e+42	2.40e+42
59185.38	9.07e+03	1.17e+03	3.50e+14	5.96e+13	5.90e+41	3.65e+41
59185.39	9.07e+03	1.17e+03	1.85e+14	3.16e+13	1.66e+41	1.03e+41
59186.35	9.07e+03	1.17e+03	6.64e+14	1.13e+14	2.13e+42	1.32e+42
59186.35	9.07e+03	1.17e+03	7.16e+14	1.22e+14	2.48e+42	1.53e+42
59187.36	9.07e+03	1.17e+03	7.50e+14	1.28e+14	2.72e+42	1.68e+42
59187.37	9.07e+03	1.17e+03	1.01e+15	1.72e+14	4.91e+42	3.04e+42
59187.37	9.07e+03	1.17e+03	8.39e+14	1.43e+14	3.40e+42	2.10e+42
59187.38	9.07e+03	1.17e+03	7.79e+14	1.33e+14	2.93e+42	1.82e+42
59189.29	9.07e+03	1.17e+03	6.18e+14	1.05e+14	1.84e+42	1.14e+42
59189.29	9.07e+03	1.17e+03	8.80e+14	1.50e+14	3.74e+42	2.31e+42
59189.31	9.07e+03	1.17e+03	6.62e+14	1.13e+14	2.11e+42	1.31e+42
59190.29	9.07e+03	1.17e+03	2.87e+14	4.89e+13	3.97e+41	2.46e+41
59190.29	9.07e+03	1.17e+03	6.73e+14	1.15e+14	2.19e+42	1.35e+42
59191.26	9.07e+03	1.17e+03	4.48e+14	7.63e+13	9.68e+41	5.99e+41
59191.26	9.07e+03	1.17e+03	3.52e+14	5.99e+13	5.97e+41	3.70e+41
59191.27	9.07e+03	1.17e+03	5.09e+14	8.68e+13	1.25e+42	7.76e+41
59191.28	9.07e+03	1.17e+03	3.23e+14	5.50e+13	5.03e+41	3.11e+41
59192.31	9.07e+03	1.17e+03	5.93e+14	1.01e+14	1.70e+42	1.05e+42
59192.31	9.07e+03	1.17e+03	3.13e+14	5.33e+13	4.72e+41	2.92e+41
59193.30	9.07e+03	1.17e+03	5.10e+14	8.70e+13	1.26e+42	7.78e+41
59193.30	9.07e+03	1.17e+03	5.69e+14	9.70e+13	1.56e+42	9.67e+41
59193.32	9.07e+03	1.17e+03	7.58e+14	1.29e+14	2.78e+42	1.72e+42
59193.33	9.07e+03	1.17e+03	7.91e+14	1.35e+14	3.03e+42	1.87e+42
59195.32	9.07e+03	1.17e+03	2.82e+14	4.81e+13	3.85e+41	2.38e+41
59195.32	9.07e+03	1.17e+03	3.78e+14	6.45e+13	6.91e+41	4.28e+41
59195.34	9.07e+03	1.17e+03	1.13e+14	1.92e+13	6.14e+40	3.80e+40
