# ph	Lobs	err	L+BB	err	

59191.26	3.70e+41	3.68e+41	9.64e+41	4.96e+41
59191.26	2.28e+41	2.27e+41	5.95e+41	3.06e+41
59191.27	4.78e+41	4.76e+41	1.25e+42	6.42e+41
59191.28	1.92e+41	1.91e+41	5.00e+41	2.58e+41
59192.31	6.48e+41	6.44e+41	1.69e+42	8.70e+41
59192.31	1.80e+41	1.79e+41	4.71e+41	2.42e+41
59193.30	4.80e+41	4.78e+41	1.25e+42	6.45e+41
59193.30	5.97e+41	5.93e+41	1.56e+42	8.01e+41
59193.32	1.06e+42	1.05e+42	2.77e+42	1.42e+42
59193.33	1.15e+42	1.15e+42	3.01e+42	1.55e+42
59195.32	1.47e+41	1.46e+41	3.83e+41	1.97e+41
59195.32	2.64e+41	2.62e+41	6.88e+41	3.54e+41
59195.34	2.34e+40	2.33e+40	6.11e+40	3.15e+40
59195.34	3.03e+41	3.02e+41	7.91e+41	4.07e+41
59197.27	2.01e+41	1.99e+41	5.23e+41	2.69e+41
59197.27	6.48e+41	6.45e+41	1.69e+42	8.71e+41
59197.30	4.48e+41	4.45e+41	1.17e+42	6.01e+41
59199.28	2.01e+41	2.00e+41	5.24e+41	2.70e+41
59199.32	2.33e+41	2.32e+41	6.08e+41	3.13e+41
59381.58	1.76e+41	1.75e+41	4.60e+41	2.37e+41
59381.58	5.38e+40	5.35e+40	1.40e+41	7.22e+40
59385.60	3.54e+38	3.52e+38	9.24e+38	4.76e+38
59390.60	2.20e+41	2.19e+41	5.75e+41	2.96e+41
59390.60	2.74e+40	2.72e+40	7.14e+40	3.68e+40
59400.57	5.96e+40	5.92e+40	1.55e+41	8.00e+40
59400.57	4.85e+40	4.82e+40	1.26e+41	6.51e+40
59401.56	7.97e+40	7.92e+40	2.08e+41	1.07e+41
59410.56	4.39e+39	4.37e+39	1.15e+40	5.90e+39
59412.51	1.17e+41	1.16e+41	3.05e+41	1.57e+41
59417.52	4.95e+40	4.92e+40	1.29e+41	6.65e+40
59417.52	2.96e+41	2.94e+41	7.72e+41	3.97e+41
59420.56	2.11e+41	2.09e+41	5.49e+41	2.83e+41
59428.52	1.68e+41	1.67e+41	4.39e+41	2.26e+41
59428.53	1.42e+39	1.41e+39	3.71e+39	1.91e+39
59431.48	1.29e+41	1.29e+41	3.37e+41	1.74e+41
59438.62	9.11e+39	9.06e+39	2.38e+40	1.22e+40
59446.59	9.01e+40	8.96e+40	2.35e+41	1.21e+41
59448.60	1.49e+41	1.48e+41	3.89e+41	2.00e+41
59455.60	1.17e+41	1.17e+41	3.06e+41	1.57e+41
