##phase	g	err	w	err	r	err	i	err	z	err	y	err	
#
59135.43	19.83	1.20	19.83	1.20	19.83	1.20	19.83	1.20	19.83	1.20	19.83	1.20
59135.43	20.28	1.20	20.28	1.20	20.28	1.20	20.28	1.20	20.28	1.20	20.28	1.20
59135.45	19.23	1.20	19.23	1.20	19.23	1.20	19.23	1.20	19.23	1.20	19.23	1.20
59136.30	19.38	1.20	19.38	1.20	19.38	1.20	19.38	1.20	19.38	1.20	19.38	1.20
59136.34	20.02	1.20	20.02	1.20	20.02	1.20	20.02	1.20	20.02	1.20	20.02	1.20
59137.42	19.51	1.20	19.51	1.20	19.51	1.20	19.51	1.20	19.51	1.20	19.51	1.20
59137.43	19.35	1.20	19.35	1.20	19.35	1.20	19.35	1.20	19.35	1.20	19.35	1.20
59137.43	19.38	1.20	19.38	1.20	19.38	1.20	19.38	1.20	19.38	1.20	19.38	1.20
59137.44	19.25	1.20	19.25	1.20	19.25	1.20	19.25	1.20	19.25	1.20	19.25	1.20
59137.45	19.50	1.20	19.50	1.20	19.50	1.20	19.50	1.20	19.50	1.20	19.50	1.20
59137.46	19.98	1.20	19.98	1.20	19.98	1.20	19.98	1.20	19.98	1.20	19.98	1.20
59138.23	20.09	1.20	20.09	1.20	20.09	1.20	20.09	1.20	20.09	1.20	20.09	1.20
59138.31	19.46	1.20	19.46	1.20	19.46	1.20	19.46	1.20	19.46	1.20	19.46	1.20
59139.41	19.83	1.20	19.83	1.20	19.83	1.20	19.83	1.20	19.83	1.20	19.83	1.20
59139.41	19.91	1.20	19.91	1.20	19.91	1.20	19.91	1.20	19.91	1.20	19.91	1.20
59139.42	19.85	1.20	19.85	1.20	19.85	1.20	19.85	1.20	19.85	1.20	19.85	1.20
59139.43	19.43	1.20	19.43	1.20	19.43	1.20	19.43	1.20	19.43	1.20	19.43	1.20
59140.25	19.44	1.20	19.44	1.20	19.44	1.20	19.44	1.20	19.44	1.20	19.44	1.20
59140.28	20.03	1.20	20.03	1.20	20.03	1.20	20.03	1.20	20.03	1.20	20.03	1.20
59141.38	19.43	1.20	19.43	1.20	19.43	1.20	19.43	1.20	19.43	1.20	19.43	1.20
59141.38	19.82	1.20	19.82	1.20	19.82	1.20	19.82	1.20	19.82	1.20	19.82	1.20
59141.41	19.26	1.20	19.26	1.20	19.26	1.20	19.26	1.20	19.26	1.20	19.26	1.20
59141.42	19.59	1.20	19.59	1.20	19.59	1.20	19.59	1.20	19.59	1.20	19.59	1.20
59142.27	20.12	1.20	20.12	1.20	20.12	1.20	20.12	1.20	20.12	1.20	20.12	1.20
59142.27	19.70	1.20	19.70	1.20	19.70	1.20	19.70	1.20	19.70	1.20	19.70	1.20
59143.26	19.59	1.20	19.59	1.20	19.59	1.20	19.59	1.20	19.59	1.20	19.59	1.20
59143.27	20.69	1.20	20.69	1.20	20.69	1.20	20.69	1.20	20.69	1.20	20.69	1.20
59143.29	19.73	1.20	19.73	1.20	19.73	1.20	19.73	1.20	19.73	1.20	19.73	1.20
59143.31	19.79	1.20	19.79	1.20	19.79	1.20	19.79	1.20	19.79	1.20	19.79	1.20
59143.40	20.45	1.20	20.45	1.20	20.45	1.20	20.45	1.20	20.45	1.20	20.45	1.20
59143.40	20.41	1.20	20.41	1.20	20.41	1.20	20.41	1.20	20.41	1.20	20.41	1.20
59143.41	21.26	1.20	21.26	1.20	21.26	1.20	21.26	1.20	21.26	1.20	21.26	1.20
59144.21	19.58	1.20	19.58	1.20	19.58	1.20	19.58	1.20	19.58	1.20	19.58	1.20
59144.33	20.25	1.20	20.25	1.20	20.25	1.20	20.25	1.20	20.25	1.20	20.25	1.20
59145.29	20.14	1.20	20.14	1.20	20.14	1.20	20.14	1.20	20.14	1.20	20.14	1.20
59145.29	19.46	1.20	19.46	1.20	19.46	1.20	19.46	1.20	19.46	1.20	19.46	1.20
59145.40	19.57	1.20	19.57	1.20	19.57	1.20	19.57	1.20	19.57	1.20	19.57	1.20
59145.40	19.66	1.20	19.66	1.20	19.66	1.20	19.66	1.20	19.66	1.20	19.66	1.20
59145.41	19.60	1.20	19.60	1.20	19.60	1.20	19.60	1.20	19.60	1.20	19.60	1.20
59145.42	19.66	1.20	19.66	1.20	19.66	1.20	19.66	1.20	19.66	1.20	19.66	1.20
59147.38	19.40	1.20	19.40	1.20	19.40	1.20	19.40	1.20	19.40	1.20	19.40	1.20
59147.39	19.75	1.20	19.75	1.20	19.75	1.20	19.75	1.20	19.75	1.20	19.75	1.20
59147.39	19.74	1.20	19.74	1.20	19.74	1.20	19.74	1.20	19.74	1.20	19.74	1.20
59147.40	19.90	1.20	19.90	1.20	19.90	1.20	19.90	1.20	19.90	1.20	19.90	1.20
59147.42	20.41	1.20	20.41	1.20	20.41	1.20	20.41	1.20	20.41	1.20	20.41	1.20
59147.42	19.65	1.20	19.65	1.20	19.65	1.20	19.65	1.20	19.65	1.20	19.65	1.20
59148.30	20.91	1.20	20.91	1.20	20.91	1.20	20.91	1.20	20.91	1.20	20.91	1.20
59148.31	19.86	1.20	19.86	1.20	19.86	1.20	19.86	1.20	19.86	1.20	19.86	1.20
59148.31	19.19	1.20	19.19	1.20	19.19	1.20	19.19	1.20	19.19	1.20	19.19	1.20
59154.41	19.67	1.20	19.67	1.20	19.67	1.20	19.67	1.20	19.67	1.20	19.67	1.20
59154.41	19.49	1.20	19.49	1.20	19.49	1.20	19.49	1.20	19.49	1.20	19.49	1.20
59155.26	19.52	1.20	19.52	1.20	19.52	1.20	19.52	1.20	19.52	1.20	19.52	1.20
59155.50	18.68	1.20	18.68	1.20	18.68	1.20	18.68	1.20	18.68	1.20	18.68	1.20
59157.33	19.65	1.20	19.65	1.20	19.65	1.20	19.65	1.20	19.65	1.20	19.65	1.20
59157.38	19.40	1.20	19.40	1.20	19.40	1.20	19.40	1.20	19.40	1.20	19.40	1.20
59157.38	19.45	1.20	19.45	1.20	19.45	1.20	19.45	1.20	19.45	1.20	19.45	1.20
59157.39	19.37	1.20	19.37	1.20	19.37	1.20	19.37	1.20	19.37	1.20	19.37	1.20
59157.40	19.37	1.20	19.37	1.20	19.37	1.20	19.37	1.20	19.37	1.20	19.37	1.20
59158.39	19.39	1.20	19.39	1.20	19.39	1.20	19.39	1.20	19.39	1.20	19.39	1.20
59159.34	17.12	1.20	17.12	1.20	17.12	1.20	17.12	1.20	17.12	1.20	17.12	1.20
59160.35	19.46	1.20	19.46	1.20	19.46	1.20	19.46	1.20	19.46	1.20	19.46	1.20
59160.36	18.19	1.20	18.19	1.20	18.19	1.20	18.19	1.20	18.19	1.20	18.19	1.20
59160.36	19.96	1.20	19.96	1.20	19.96	1.20	19.96	1.20	19.96	1.20	19.96	1.20
59161.37	19.31	1.20	19.31	1.20	19.31	1.20	19.31	1.20	19.31	1.20	19.31	1.20
59161.38	19.76	1.20	19.76	1.20	19.76	1.20	19.76	1.20	19.76	1.20	19.76	1.20
59161.39	19.65	1.20	19.65	1.20	19.65	1.20	19.65	1.20	19.65	1.20	19.65	1.20
59163.35	19.56	1.20	19.56	1.20	19.56	1.20	19.56	1.20	19.56	1.20	19.56	1.20
59163.36	21.08	1.20	21.08	1.20	21.08	1.20	21.08	1.20	21.08	1.20	21.08	1.20
59163.42	21.00	1.20	21.00	1.20	21.00	1.20	21.00	1.20	21.00	1.20	21.00	1.20
59163.42	20.12	1.20	20.12	1.20	20.12	1.20	20.12	1.20	20.12	1.20	20.12	1.20
59163.43	21.61	1.20	21.61	1.20	21.61	1.20	21.61	1.20	21.61	1.20	21.61	1.20
59163.44	21.63	1.20	21.63	1.20	21.63	1.20	21.63	1.20	21.63	1.20	21.63	1.20
59167.23	19.91	1.20	19.91	1.20	19.91	1.20	19.91	1.20	19.91	1.20	19.91	1.20
59169.19	19.98	1.20	19.98	1.20	19.98	1.20	19.98	1.20	19.98	1.20	19.98	1.20
59169.22	20.88	1.20	20.88	1.20	20.88	1.20	20.88	1.20	20.88	1.20	20.88	1.20
59169.22	19.64	1.20	19.64	1.20	19.64	1.20	19.64	1.20	19.64	1.20	19.64	1.20
59169.33	19.39	1.20	19.39	1.20	19.39	1.20	19.39	1.20	19.39	1.20	19.39	1.20
59169.35	20.39	1.20	20.39	1.20	20.39	1.20	20.39	1.20	20.39	1.20	20.39	1.20
